style,embedding_type,search_method,llm_name,question,true_answer,chatbot_answer,cosine_similarity,correctness_score,faithfulness_score,retriever_scores,precision,recall,f1,
neutral,emb2,exact,gemini-1.5-flash,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18",Children and youth members of the Maccabi who are dialysis patients and not yet 18 years old are eligible for transportation to treatments and examinations.,0.933533221,0.533399962,0.879692659,"{'precision': 0.6, 'recall': 0.75, 'f1': 0.66667}",0.6,0.75,0.66667,
neutral,emb2,exact,gemini-1.5-flash,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. ","MADITON BEERSHEBA
Negev Mall, Eli Cohen Junction, 5th Floor Mall Tower, Beersheba.
03-5207455",0.830598893,0.276866298,0.704041138,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb2,exact,gemini-1.5-flash,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon,I can't answer this question. The information provided does not list a clinic for treatment of eating disorders in Holon.,0.953953126,0.651317709,0.770496526,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb2,exact,gemini-1.5-flash,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible,"If the treatment includes a dietitian or doctor, a quarterly deductible of NIS 30.50 will be charged.",0.872318338,0.624106113,0.849230069,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,exact,gemini-1.5-flash,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic.",Home outpatient provides inpatient services at home instead of inpatient in an internal department of the hospital.,0.720777106,0.240259035,0.706955215,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,exact,gemini-1.5-flash,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”.","Yes, you can bring a service animal to a health institution.",0.894757086,0.631585695,0.749383025,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,exact,gemini-1.5-flash,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only.","Maccabi Shelli, Gold, and Silver members can get a clinical mammogram without a medical need at Asuta salons.",0.857124692,0.452374897,0.831491113,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. ,The psychodiagnostic diagnosis is provided at Maccabi Mental Health Clinics.,0.908922344,0.636307448,0.81933757,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.",The examination and treatment for vision focus (orthopedics) costs 72₪ deductible for evaluation tests and 55₪ deductible for each orthopedic treatment at the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi.,0.917938292,0.514312764,0.868500405,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.,A doctor's referral is necessary to identify one's blood type.,0.876390082,0.625463361,0.701891005,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18",Children and youth members of the Maccabi who are dialysis patients and are not yet 18 years old are eligible.,0.934593888,0.533753518,0.819703523,"{'precision': 0.6, 'recall': 0.75, 'f1': 0.66667}",0.6,0.75,0.66667,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. ","The recommended vaccination schedule for a baby is 4 doses of the pentavalent vaccine, administered at the following ages: 

1. 6 weeks
2. 4 months
3. 6 months
4. 12 months",0.684134861,0.228044954,0.756767449,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon,There is a clinic for the treatment of eating disorders in Holon.,0.959338603,0.653112868,0.739477478,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible,I'm unable to respond to your question.,0.761125376,0.253708459,0.599430637,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic.","A ""home visit"" is a service provided by a home outpatient team in your home, where a doctor and a nurse visit you at least once a day, supply you with medicines and required equipment, conduct blood tests and imaging tests, and provide a 24/7 call center.",0.771453441,0.257151147,0.728138655,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”.",You can bring a service animal to a health institution.,0.880166007,0.626722002,0.729536509,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,approximate,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only.",A person without a medical need can get a clinical mammography done at Asuta salons.,0.795777841,0.431925947,0.744577521,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. ,The psychodiagnostic diagnosis is provided at Maccabi Mental Health Clinics.,0.908922344,0.636307448,0.81933757,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment.",The cost for examination and treatment for vision focus (orthopedics) is 72₪ deductible for evaluation tests and 55₪ deductible for each orthopedic treatment at the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi.,0.916141879,0.51371396,0.867601009,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.,A doctor's referral is necessary to identify one's blood type.,0.876390082,0.625463361,0.701891005,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18",Children and youth members of the Maccabi who are dialysis patients and are not yet 18 years old are eligible.,0.934593888,0.533753518,0.819703523,"{'precision': 0.6, 'recall': 0.75, 'f1': 0.66667}",0.6,0.75,0.66667,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. ","The recommended vaccination schedule for a baby is 4 doses of the pentavalent vaccine, administered at the following ages: 

1. 6 weeks
2. 4 months
3. 6 months
4. 12 months",0.684134861,0.228044954,0.756767449,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon,There is a clinic for the treatment of eating disorders in Holon.,0.959338603,0.653112868,0.739477478,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible,I'm unable to respond to your question.,0.761125376,0.253708459,0.599430637,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic.","A ""home visit"" is a service provided by a home outpatient team in your home, where a doctor and a nurse visit at least once a day, supply medicines and required equipment, conduct blood tests and imaging tests, and provide a 24/7 call center.",0.771558924,0.257186308,0.725280361,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”.",You can bring a service animal to a health institution.,0.880166007,0.626722002,0.729536509,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,exact,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only.",A person without a medical need can get a clinical mammography done at Asuta salons.,0.795777841,0.431925947,0.744577521,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. , Psychodiagnostic diagnosis is provided at Maccabi Mental Health Clinics.,0.900630774,0.633543591,0.821404356,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment."," The cost of examination and treatment for vision focus (orthopedics) varies depending on the medical institution that performs the tests and treatments. At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi, the deductible for evaluation tests is 72₪ and for each orthopedic treatment is 55₪. In a public hospital, the deductible for evaluation tests is 72₪ and for each orthopedic treatment is 55₪. In remote areas for patients who do not have an agreement with Maccabi, 50% reimbursement of the rate of the Ministry of Health is provided and a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment is offset. The service is provided at the Maccabi Eye Institute at First Sight in the Asuta Shalom Facility, in the public hospitals under the agreement, and in orthopedic therapists who have an agreement with Maccabi. To receive treatment, a referral from a Maccabi ophthalmologist is required. Payment will be made directly at the facility for treatment at the Maccabi Eye Institute at the Asuta Shalom facility, at the branch office at the time of production of the pledge for treatment in a public hospital, and at the facility for treatment by orthopedic therapists who have an agreement with Maccabi. No refund will be given for the amount paid.",0.924515099,0.5581717,0.904926803,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.," Based on the information provided, a doctor's referral is necessary to perform a test to determine your blood type. The test is carried out by taking blood from a vein and the results will be received one working day after the test is performed. The test results can be viewed on the Maccabi Online website, the Maccabi app, or at the Maccabi Lee positions. The cost of the test is 25.59₪ with a deductible for the whole package. The service is provided at Maccabi Laboratories.",0.686427977,0.562142659,0.891816545,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,Who is eligible to transportation for treatments and examinations for dialysis patients up to 18 years of age?,"Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children. Eligibility for dialysis patients under the age of 18"," The eligibility criteria for transportation for treatments and examinations for dialysis patients up to 18 years of age are as follows:

* Children and youth members of the Maccabi are dialysis patients who are not yet 18 years old, traveling for treatment in a hospital, at a dedicated dialysis institute for children.
* Eligibility for dialysis patients under the age of 18 is for reimbursement for travel for dialysis treatments and travel for preparations and adjustments for dialysis treatments only.
* Financing the expenses of the trip from the friend's house to the hospital by transport in one of the following ways:
* Public transport: Reimbursement for travel in 2 directions, in the amount of transport fee according to the website of the Ministry of Transport. Full refund for travel in both directions, upon presentation of original receipt with counter reading. If a receipt or invoice is submitted without reading a counter - the calculation of the amount of the refund will be carried out up to the fare ceiling as determined by the Ministry of Transport.
* Taxi: Full refund for travel in both directions, according to the MDA fare, or from the actual price of the ambulance ride, which is the lower one.
* Private car: Full return in 2 directions according to the following calculation: NUMBER OF TREATMENTS X PRICE PER LITER OF OCTANE FUEL 95 INCLUDING SERVICE CHARGE X NO. KM, THE AMOUNT MUST BE DIVIDED INTO 10. (The calculation is done automatically by the system).
* Ambulance: Full refund for travel in both directions, according to the MDA fare, or from the actual price of the ambulance ride, which is the lower one.

The service is provided in hospitals under the agreement, in designated institutes for the care of children.

To receive the entitlement, the following documents must be brought:

* Confirmation from the place of care, detailing the dates of treatments/examinations.
* For traveling by public transport: Reimbursement by “multi-line” - the refund will be calculated according to the cost of an individual trip X the number of days traveled for examination or treatment.
* For taxi ride: Original receipt/invoice for the trip with the meter reading indicated.
* For traveling by private car: NUMBER OF TREATMENTS X PRICE PER LITER OF OCTANE FUEL 95 INCLUDING SERVICE CHARGE X NO. KM, THE AMOUNT MUST BE DIVIDED INTO 10. (The calculation is done automatically by the system).

The eligibility is valid from 02.02.2022.",0.884007846,0.516891504,0.950967064,"{'precision': 0.6, 'recall': 0.75, 'f1': 0.66667}",0.6,0.75,0.66667,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,"Where can I vaccinate my baby for ""Pent-up""?","At milk drop stations of Maccabi
If your village does not have a Maccabi milk drop station, you can locate a nearby milk drop station on the website of the Ministry of Health. "," The location of a vaccination center for ""Pent-up"" for babies is not specified in the provided information.",0.779480411,0.259826804,0.774738173,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,Is there aclinic for treatment of eating disorders in Holon?,There is no clinic for treatment of eating disorders in Holon," Based on the information provided, there are several clinics in Holon that specialize in treating eating disorders. These clinics are under the agreement with Maccabi, Northern District settlement hospital unitary address telephone Haifa Bnei Zion Child and Adolescent Health Clinic Montefiore 19A 04-8359970 Haifa Bnei Zion Children's Day Care B Montefiore 19A 04-8359971 Haifa Bnei Zion Outpatient Department for Children and Youth Montefiore 19A 04-8359972 Haifa Rambam Clinic for adults, children and youth The Second Ascension 8 04-7773143 Haifa Rambam Day care for adults, children and youth The Second Ascension 8 04-7773144 Nahariya Galilee Medical Center Child and Family Guidance Unit On Route 89 04-9107107 Safed Ziv The Array for the Care of Children and Youth - Day Care Rambam Road 04-6828475 Safed Ziv The Array for the Care of Children and Adolescents - Outpatient Department Rambam Road 04-6828183 Safed Ziv Child and Youth Health Clinic Rambam Road 04-6828086 Haifa settlement Haifa hospital Bnei Zion unitary Child and Adolescent Health Clinic address Montefiore 19A telephone 04-8359970 Haifa settlement Haifa hospital Bnei Zion unitary Children's Day Care B address Montefiore 19A telephone 04-8359971 Haifa settlement Haifa hospital Bnei Zion unitary Outpatient Department for Children and Youth address Montefiore 19A telephone 04-8359972 Haifa settlement Haifa hospital Rambam.

The cost of treatment for eating disorders is no deductible. If the treatment includes treatment with a dietitian or doctor, a quarterly deductible of NIS 30.50 will be charged. The service is provided in clinics of Maccabi for eating disorders or in clinics under the agreement with Maccabi, Northern District settlement hospital unitary address telephone Haifa Bnei Zion Child and Adolescent Health Clinic Montefiore 19A 04-8359970 Haifa Bnei Zion Children's Day Care B Montefiore 19A 04-8359971 Haifa Bnei Zion Outpatient Department for Children and Youth Montefiore 19A 04-8359972 Haifa Rambam Clinic for adults, children and youth The Second Ascension 8 04-7773143 Haifa Rambam Day care for adults, children and youth The Second Ascension 8 04-7773144 Nahariya Galilee Medical Center Child and Family Guidance Unit On Route 89 04-9107107 Safed Ziv The Array for the Care of Children and Youth - Day Care Rambam Road 04-6828475 Safed Ziv The Array for the Care of Children and Adolescents - Outpatient Department Rambam Road 04-6828183 Safed Ziv Child and Youth Health Clinic Rambam Road 04-6828086 Haifa settlement Haifa hospital Bnei Zion unitary Child and Adolescent Health Clinic address Montefiore 19A telephone 04-8359970 Haifa settlement Haifa hospital Bnei Zion unitary Children's Day Care B address Montefiore 19A telephone 04-8359971 Haifa settlement Haifa hospital Bnei Zion unitary Outpatient Department for Children and Youth address Montefiore 19A telephone 04-8359972 Haifa settlement Haifa hospital Rambam.

The treatment includes diagnosis and evaluation, and at the end of which you will determine the appropriate treatment plans. The insurance layers are: Maccabi Shelli, Maccabi Gold, Maccabi Silver, Basic Basket Who is eligible? Friends aged 10 and older with eating disorders. What is the entitlement? Clinic treatment for eating disorders. Treatment includes diagnosis and evaluation, and at the end of which you will determine the appropriate treatment plans. How much does it cost? No deductible. If the treatment includes treatment with a dietitian or doctor, a quarterly deductible of NIS 30.50 will be charged. Where is the service provided? In clinics of Maccabi for eating disorders or In clinics under the agreement with Maccabi, Northern District settlement hospital unitary address telephone Haifa Bnei Zion Child and Adolescent Health Clinic Montefiore 19A 04-8359970 Haifa Bnei Zion Children's Day Care B Montefiore 19A 04-8359971 Haifa Bnei Zion Outpatient Department for Children and Youth Montefiore 19A 04-8359972 Haifa Rambam Clinic for adults, children and youth The Second Ascension 8 04-7773143 Haifa Rambam Day care for adults, children and youth The Second Ascension 8 04-7773144 Nahariya Galilee Medical Center Child and Family Guidance Unit On Route 89 04-9107107 Safed Ziv The Array for the Care of Children and Youth - Day Care Rambam Road 04-6828475 Safed Ziv The Array for the Care of Children and Adolescents - Outpatient Department Rambam Road 04-6828183 Safed Ziv Child and Youth Health Clinic Rambam Road 04-6828086 Haifa settlement Haifa hospital Bnei Zion unitary Child and Adolescent Health Clinic address Montefiore 19A telephone 04-8359970 Haifa settlement Haifa hospital Bnei Zion unitary Children's Day Care B address Montefiore 19A telephone 04-8359971 Haifa settlement Haifa hospital Bnei Zion unitary Outpatient Department for Children and Youth address Montefiore 19A telephone 04-8359972 Haifa settlement Haifa hospital Rambam.",0.79878146,0.59959382,0.898676533,"{'precision': 1.0, 'recall': 0.15625, 'f1': 0.27027}",1,0.15625,0.27027,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,What is the quarterly cost to visit a specialist?,Visit to a specialist - 36₪ quarterly deductible," Based on the information provided, the cost to visit a specialist on a quarterly basis varies depending on the location and the type of specialist. The cost ranges from NIS 25.59₪ for the whole package to NIS 30.50 for treatment that includes a dietitian or doctor. The location of the specialist is also specified, including clinics in Maccabi for eating disorders or clinics under the agreement with Maccabi, Northern District settlement hospital unitary, and other locations. It is important to note that the cost may be different depending on the specific specialist and location.",0.799933862,0.599977954,0.854629607,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,What is a “home visit”?,"Maccabi members are entitled to video medical advice -- a “home visit” by doctors and therapists via video, without having to go to the clinic."," A home visit is a medical service provided to a patient in their own home instead of in a hospital. The service includes visiting a doctor and visiting a nurse at least once a day, supply of medicines and required equipment, conducting blood tests and imaging tests, and transportation to and from treatments and examinations. The service is available to members over the age of 18 who have been given a doctor's referral according to appropriate medical indications and whose home is located up to 30 km from any hospital. During hospitalization, a caregiver/family member will live with the patient at home. The service is provided by a home outpatient team and is free of charge. If a patient needs to be transported to and from treatments and examinations, the service will provide this transportation. If a patient needs to be evacuated by ambulance, this service is also provided without cost.",0.774545054,0.258181685,0.804177952,"{'precision': 0.0, 'recall': 0.0, 'f1': 0}",0,0,0,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,Can I come to a health institutions with a service animal?," In accordance with the Law on the Rights of Persons with Disabilities, there is an obligation on service providers in health institutions to allow a person with a disability to receive service while assisting a service animal. A service animal is any animal whose owner carries a certificate or marking attesting to being a “service animal”."," Based on the information provided, it is allowed to bring a service animal to a health institution. However, there are certain restrictions and requirements that must be met. For example, the service animal must be accompanied by a certificate or marking attesting to being a service animal. Additionally, there may be specific rules regarding where the service animal is allowed within the health institution. It is important to check with the specific health institution for their policies regarding service animals.",0.900163476,0.633387825,0.758552741,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,approximate,mistralai/Mistral-7B-Instruct-v0.1,"I want to do clinical mammography, but I don't have any medical need. Where can I do it?","My Maccabi, gold and silver companies interested in examination without medical need - in Asuta salons only."," Based on the provided information, it appears that clinical mammography is a medical examination that is covered by certain insurance layers in Israel. To receive a mammography examination, individuals must have a medical indication and be eligible for the examination. The entitlement for the examination is a mammography examination. The cost of the examination varies depending on the insurance layer and the institution providing the service.

To obtain a mammography examination, individuals must refer to a family physician, women's physician, or surgeon. The referral and a letter of summons to the hospital must be delivered to Maccabi in order to obtain a pledge for the examination.

Test results for mammography examinations are typically available within a few hours of the examination, and the decoding of the test will be sent to the referring doctor within 5 working days. Members can review their results on the Maccabi Online website and the Maccabi app.

It is important to note that not all institutions in Israel provide mammography examinations, and individuals must check with their insurance provider to determine which institutions are covered under their plan. Additionally, some institutions may require a commitment before providing the examination.",0.749142731,0.41638091,0.851835103,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,exact,mistralai/Mistral-7B-Instruct-v0.1,Where Psychodiagnostic diagnosis is provided?,At Maccabi Mental Health Clinics. , Psychodiagnostic diagnosis is provided at Maccabi Mental Health Clinics.,0.900630774,0.633543591,0.821404356,"{'precision': 0.4, 'recall': 1.0, 'f1': 0.57143}",0.4,1,0.57143,
neutral,emb2,exact,mistralai/Mistral-7B-Instruct-v0.1,How much Examination and treatment for vision focus cost?,"The price varies depending on the medical institution that performs the tests and treatments
 At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi - 72₪ deductible for evaluation tests, 55₪ deductible for each orthopedic treatment.
In a public hospital - Pledge with deduction of 72₪ deductible for evaluation tests and pledge with deduction of 55₪ deductible for each orthopedic treatment.
In remote areas for patients who do not have an agreement with Maccabi - 50% reimbursement of the rate of the Ministry of Health and offset of a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment."," The cost of examination and treatment for vision focus (orthopedics) varies depending on the medical institution that performs the tests and treatments. At the Maccabi Eye Institute in Assuta Shalom in Tel Aviv or with therapists who have an agreement with Maccabi, the deductible for evaluation tests is 72₪ and for each orthopedic treatment is 55₪. In a public hospital, the deductible for evaluation tests is 72₪ and for each orthopedic treatment is 55₪. In remote areas for patients who do not have an agreement with Maccabi, 50% reimbursement of the rate of the Ministry of Health is provided and a deductible of 72₪ for evaluation tests and 55₪ for orthopedic treatment is offset. The service is provided at the Maccabi Eye Institute at First Sight in the Asuta Shalom Facility, in the public hospitals under the agreement, and in orthopedic therapists who have an agreement with Maccabi. To receive treatment, a referral from a Maccabi ophthalmologist is required. Payment will be made directly at the facility for treatment at the Maccabi Eye Institute at the Asuta Shalom facility, at the branch office at the time of production of the pledge for treatment in a public hospital, and at the facility for treatment by orthopedic therapists who have an agreement with Maccabi. No refund will be given for the amount paid.",0.924515099,0.5581717,0.904926803,"{'precision': 0.6, 'recall': 1.0, 'f1': 0.75}",0.6,1,0.75,
neutral,emb2,exact,mistralai/Mistral-7B-Instruct-v0.1,Does doctor's referral is necessary to do a test in order toidentify my blood type?,A doctor's referral is necessary.," Based on the information provided, a doctor's referral is necessary to perform a test to determine your blood type. The test is carried out by taking blood from a vein and the results will be received one working day after the test is performed. The test results can be viewed on the Maccabi Online website, the Maccabi app, or at the Maccabi Lee positions. The cost of the test is 25.59₪ with a deductible for the whole package. The service is provided at Maccabi Laboratories.",0.686427977,0.562142659,0.891816545,"{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333}",0.2,1,0.33333,
